Location (ENG),Location (CYM),Postcode,Access Notes (ENG),Access Notes (CYM),Charge to access,Monday (open),Monday (close),Tuesday (open),Tuesday (close),Wednesday (open),Wednesday (close),Thursday (open),Thursday (close),Friday (open),Friday (close),Saturday (open),Saturday (close),Sunday (open),Sunday (close),Are services reduced during off-peak season?,What is off-peak? (En),What is off-peak? (Cy),Closed Christmas Day?,Closed Boxing Day?,Closed New Year's Day?,Closed May Bank Holiday?,Closed Good Friday?,Closed Easter Sunday?,Closed Easter Monday?,Closed Spring Bank Holiday?,Closed August Bank Holiday?,Male Only,Female Only,Unisex Toilet,Baby change (in male toilet),Baby change (in female toilet),Baby change (in unisex toilet),Baby change (in separate room),Baby change (in disabled toilet),Disabled - open access (male),Disabled - open access (female),Disabled - open access (unisex),Disabled - RADAR (male),Disabled - RADAR (female),Disabled - RADAR (unisex),Changing place,UPRN,Lat,Long,X coordinate (BNG),Y coordinate (BNG)
Aberbargoed Education Centre,Canolfan Addysg Aberbargod,NP12 0BE,Toilets only open when centre in use. Centre not manned. Outdoor composting toilet,Dim ond pan fydd y ganolfan yn cael ei defnyddio y bydd y toiledau ar agor.  Nid yw'r Ganolfan wedi'i staffio'n barhaol. Toiled compostio awyr agored.,None,,,,,,,,,,,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,43169600,51.68907,-3.20705,316658,199613
Aberbargoed Library,Llyfrgell Aberbargoed,CF81 9BB,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,,,09:30,18:00,09:30,17:00,09:30,17:00,,,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,43004197,51.694429,-3.223371,315540,200228
Abercarn Cemetery,Mynwent Abercarn,,,,None,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,09:00,19:30,09:00,19:30,Yes,Summer opening times provided (1st April-30th September). Winter opening hours (1st October-31st March) Mon-Fri 8:00-17:00 Sat-Sun 9:00-17:00,Darperir oriau agor yr haf (1 Ebrill tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mawrth) Llun-Gwe 8:00-17:00 Sad-Sul 9:00-17:00,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,43172045,51.65442,-3.12676,322149,195671
Abercarn Library,Llyfrgell Abercarn,NP11 5DT,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,17:00,,,09:30,18:00,09:30,17:00,,,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43170015,51.64684,-3.13466,321589,194836
Abertridwr Library,Llyfrgell Abertridwr,CF83 4EJ,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,18:00,09:30,17:00,,,14:00,18:00,09:30,17:00,09:30,13:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43009528,51.59468,-3.26829,312243,189188
Abertridwr Welfare Park,Parc Lles Abertridwr,,,,None,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,Yes,Summer opening times provided (1st June-30th September). CLOSED Winter opening hours (1st October-31st May) ,Darperir oriau agor yr haf (1 Mehefin tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mai) AR GAU.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,43085300,51.59446,-3.2669,312339,189161
Argoed Baptist Chapel Cafe,"Caffi Capel y Bedyddwyr, Argoed",NP12 0HG,Toilet is on the second tier of the ground floor. A chair lift is available between the levels and a chair/wheel chair lift outside the premises is available from the kerbside up the slope to the entrance door.,"Toiled ar yr ail lefel ar y llawr gwaelod. Mae cadair esgyn rhwng y lefelau, ac mae cadair esgyn/lifft i gadeiriau olwyn y tu allan i'r adeilad ar y rhiw rhwng ymyl y ffordd a'r fynedfa.",None,,,,,10:00,16:00,10:00,16:00,,,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,43169395,51.69204,-3.19136,317748,199926
Bargoed Library (including Customer Services),Llyfrgell Bargod (gan gynnwys Gwasanaethau Cwsmeriaid),CF81 8QR,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,17:00,09:30,18:00,09:30,17:00,09:30,17:00,09:30,18:00,09:30,16:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,43169526,51.68993,-3.22852,315176,199734
Bedwas Cemetery,Mynwent Bedwas,,,,None,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,09:00,19:30,09:00,19:30,Yes,Summer opening times provided (1st April-30th September). Winter opening hours (1st October-31st March) Mon-Fri 8:00-17:00 Sat-Sun 9:00-17:00,Darperir oriau agor yr haf (1 Ebrill tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mawrth) Llun-Gwe 8:00-17:00 Sad-Sul 9:00-17:00,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,43091495,51.58903,-3.19529,317289,188474
Bedwas Leisure Centre,Canolfan Hamdden Bedwas,CF83 8BJ,,,None,17:00,22:30,17:00,21:30,17:00,22:30,17:00,21:30,17:00,22:00,09:00,16:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,43166753,51.59064,-3.19311,317443,188651
Bedwas Library,Llyfrgell Bedwas,CF83 8BJ,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,17:00,14:00,18:00,09:30,18:00,,,09:30,17:00,09:30,13:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43091501,51.59074,-3.19115,317579,188660
Bedwellty Cemetery,Mynwent Bedwellte,,,,None,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,09:00,19:30,09:00,19:30,Yes,Summer opening times provided (1st April-30th September). Winter opening hours (1st October-31st March) Mon-Fri 8:00-17:00 Sat-Sun 9:00-17:00,Darperir oriau agor yr haf (1 Ebrill tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mawrth) Llun-Gwe 8:00-17:00 Sad-Sul 9:00-17:00,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,43085873,51.69316,-3.20677,316685,200068
Blackwood Library (including Customer Services),Llyfrgell Coed Duon (gan gynnwys Gwasanaethau Cwsmeriaid),NP12 1AJ,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,17:00,09:30,18:00,09:30,17:00,09:30,17:00,09:30,18:00,09:30,16:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43055958,51.664,-3.19387,317524,196810
Blackwood Miners Institute,"Sefydliad y Glowyr, Coed Duon",NP12 1BB,Disabled toilet and Baby Changing are on the first floor,Toiled i bobl anabl a lle newid cewynnau ar y llawr cyntaf.,None,10:00,19:45,10:00,19:45,10:00,19:45,10:00,19:45,10:00,19:45,10:00,12:45,,,Yes,During the Summer Holidays close at 18:00 Monday-Friday and closed Sat-Sun,Gwyliau'r haf: yn cau am 18:00 Llun-Gwe ac ar gau Sad-Sul,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43055586,51.66954,-3.19592,317392,197428
Caerphilly Leisure Centre,Canolfan Hamdden Caerffili,CF83 3SW,,,None,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,07:15,18:00,07:15,22:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,43026426,51.58371,-3.21438,315957,187904
Caerphilly Library (including Customer Service Centre),Llyfrgell Caerffili (gan gynnwys Canolfan Gwasanaethau Cwsmeriaid),CF83 1JL,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,17:00,09:30,17:00,09:30,18:00,09:30,18:00,09:30,17:00,09:30,16:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43000563,51.57419,-3.21786,315698,186849
Caerphilly Morgan Jones Park,"Parc Morgan Jones, Caerffili",,,,None,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,Yes,Summer opening times provided (25th May-2nd September). Winter opening hours (3rd September-24th May) Mon-Thurs 7:30-15:30 Friday 7:30-14:30. ,Darperir oriau agor yr haf (25 Mai tan 2 Medi). Oriau agor y gaeaf (3 Medi tan 24 Mai) Llun-Iau 7:30-15:30 Gwe 7:30-14:30. ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,43170198,51.57827,-3.22677,315088,187314
Cafe Tyfu,Caffi Tyfu,CF83 1FQ,,,None,08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43043132,51.5718,-3.2199,315552,186586
Cefn Fforest Leisure Centre,Canolfan Hamdden Cefn Fforest,NP12 3JR,,,None,07:15,20:30,07:15,20:30,07:15,20:30,07:15,20:30,07:15,20:30,07:15,20:30,09:00,15:30,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,43049370,51.66975,-3.20948,316455,197467
Centre for Sporting Excellence,Canolfan Rhagoriaeth Chwaraeon,CF82 7EP,,,None,07:00,21:30,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,08:00,18:00,08:00,18:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,43018265,51.6347,-3.23662,314512,193601
Chat 'n' Snack Cafe,Caffi Chat 'n' Snack,NP11 7LZ,,,None,09:00,15:00,09:00,15:00,09:00,13:30,09:00,15:00,09:00,15:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,43066061,51.63563,-3.12976,321909,193584
Chocolate Dragon Cafe,Caffi Chocolate Dragon,NP11 6BW,,,None,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,43174864,51.6078,-3.10096,323855,190459
Court House Medical Centre,Canolfan Meddygol Court House,CF83 3GH,,,None,08:00,18:30,08:00,18:00,08:00,20:00,08:00,18:30,08:00,18:30,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,43089366,51.584388,-3.218147,315697,187984
Dan-y-graig Cemetery,Mynwent Dan-y-graig,,,,None,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,09:00,19:30,09:00,19:30,Yes,Summer opening times provided (1st April-30th September). Winter opening hours (1st October-31st March) Mon-Fri 8:00-17:00 Sat-Sun 9:00-17:00,Darperir oriau agor yr haf (1 Ebrill tan 30 Medi). Oriau agor y gaeaf (1 Hydref tan 31 Mawrth) Llun-Gwe 8:00-17:00 Sad-Sul 9:00-17:00,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,43172034,51.60707,-3.10479,323589,190382
Elliot's Cafe ,Elliot's Cafe ,NP24 6EF,,,None,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,43164690,51.71697,-3.23503,314777,202748
"Full Moon Cottage, Sirhowy Valley Country Park","Bwthyn 'Full Moon', Parc Gwledig Cwm Sirhywi",NP11 7BD,,,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,Yes,Summer opening times provided (1st June-31st October). Winter opening hours (1st November-31st March) 8:30-16.30,Darperir oriau agor yr haf (1 Mehefin tan 31 Hydref). Oriau agor y gaeaf (1 Tachwedd tan 31 Mawrth) 8:30-16.30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,43165633,51.61479,-3.14208,321020,191280
Heolddu Leisure Centre,Canolfan Hamdden Heol-ddu,CF81 9GF,,,None,09:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,21:00,09:00,17:00,09:00,17:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,43164666,51.68838,-3.2446,314061,199580
Le Cafe,Le Cafe,NP12 1PN,,,None,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,43064230,51.66781,-3.19535,317428,197235
Llanbradach Library,Llyfrgell Llanbradach,CF83 3LB,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,,,,,09:30,18:00,,,09:30,18:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43166751,51.60353,-3.22981,314925,190126
Llancaiach Fawr,Llancaiach Fawr,CF46 6ER,,,None,,,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,No,,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43086672,51.66096,-3.28248,311389,196576
Nelson Library,Llyfrgell Nelson,CF46 6NF,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,18:00,,,09:30,18:00,,,09:30,17:00,09:30,13:00,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43008238,51.65025,-3.28192,311407,195384
New Tredegar Leisure Centre,Canolfan Hamdden Tredegar Newydd,NP24 6XF,,,None,15:30,21:00,09:30,21:00,09:30,21:00,15:30,21:00,09:30,21:00,15:30,20:00,10:00,14:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43038960,51.7238,-3.24636,314007,203521
New Tredegar Library,Llyfrgell Tredegar Newydd,NP24 6EF,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,18:00,,,09:30,18:00,09:30,18:00,09:30,18:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43168168,51.71697,-3.23504,314776,202748
Newbridge Leisure Centre,Canolfan Hamdden Trecelyn,NP11 5FE,,,None,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,06:30,22:00,08:00,18:00,08:45,21:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,43067320,51.66447,-3.14141,321153,196804
North Celynen Practice - Crumlin,North Celynen Practice - Crumlin,NP11 4PQ,,,None,08:00,18:30,08:00,18:30,07:30,19:00,08:00,18:30,08:00,18:30,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,43171512,51.677308,-3.140384,321246,198231
North Celynen Practice - Newbridge,North Celynen Practice - Newbridge,NP11 4RA,,,None,08:00,17:30,08:00,13:00,08:00,13:00,08:00,13:00,08:00,17:30,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,43076723,51.668225,-3.145057,320907,197226
Oakdale Library,Llyfrgell Oakdale,NP11 0HN,Key needed from Librarian. Closed from 13:00-14:00,Angen allwedd gan y Llyfrgellydd. Ar gau 13:00-14:00,None,,,09:30,18:00,09:30,17:00,,,09:30,17:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43080000,51.67867,-3.1786,318606,198424
Parc Cwm Darran Centre,Parc Cwm Darran - Canolfan Ymwelwyr,CF81 9NR,,,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,Yes,Summer opening times only April to September,Oriau agor yr haf yn unig rhwng Ebrill a Medi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,43085335,51.72311,-3.28492,311342,203491
"Parc Cwm Darran, Campsite",Parc Cwm Darran - Gwersyllfa,CF81 9NR,Toilets for campsite residents only ,Toiledau ar gyfer defnyddwyr y gwersyll yn unig,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,Yes,Summer opening times provided (1st April-31st October). Winter opening hours (1st November-31st March) 8:30-16.30,Darperir oriau agor yr haf (1 Ebril tan 31 Hydref). Oriau agor y gaeaf (1 Tachwedd tan 31 Mawrth) 8:30-16.30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,43168851,51.72322,-3.28452,311370,203502
Penallta Country Park,Parc Gwledig Penallta,CF82 7GN,Outdoor composting toilet,Toiled compostio awyr agored,None,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,Yes,Summer opening times provided (1st June-31st October). Winter opening hours (1st November-31st March) 8:30-16.30,Darperir oriau agor yr haf (1 Mehefin tan 31 Hydref). Oriau agor y gaeaf (1 Tachwedd tan 31 Mawrth) 8:30-16.30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,43165124,51.65225,-3.24678,313842,195564
Pengam Library,Llyfrgell Pengam,NP12 3AB,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,,,09:30,16:00,,,09:30,18:00,,,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,43069703,51.66494,-3.2232,315497,196948
Pen-y-Fan Pond Country Park,Parc Gwledig Pwll Pen-y-fan,NP13 2DT,,,None,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,Yes,Summer opening times provided (1st April-31st September),Darperir oriau agor yr haf (1 Ebril tan 31 Medi),Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,43164784,51.69967,-3.16183,319803,200741
Pontllanfraith Leisure Centre,Canolfan Hamdden Pontllan-fraith,NP12 2DA,,,None,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,13:00,22:00,10:00,18:00,10:00,18:00,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,43053803,51.65543,-3.19279,317583,195856
Rhymney Library,Llyfrgell Rhymni,NP22 5NU,Closed from 13:00-14:00,Ar gau 13:00-14:00,None,09:30,18:00,09:30,17:00,09:30,18:00,09:30,17:00,09:30,17:00,,,,,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,43009317,51.75941,-3.28382,311489,207526
Risca Leisure Centre,Canolfan Hamdden Rhisga,NP11 6GH,,,None,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,06:15,22:00,07:45,19:30,07:45,19:30,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,43164811,51.60545,-3.06989,326003,190165
