Location Name,Address,Description,Accessibility Notes,Hours of Operation,Seasonal variability hours,Phone,Web link,Latitude,Longitude,Location,geometry_point
Jasper Place Leisure Centre,9200-163 Street NW,Within the Leisure Centre,The majority of the facility is accessible.  Wheelchair accessible washrooms and change rooms.,"Mon-Fri 06:00-09:00, 11:00-20:00 Sat 07:00-16:00,18:00-21:00 Sun 07:00-19:00",Same hours year round,311,edmonton.ca/jasperplace,53.526758,-113.603536,"(53.526758,-113.603536)",POINT (-113.603536 53.526758)
Victoria Park Pavilion,12010-River Valley Road NW,Within the Park Pavillion,Fully accessible washrooms in the Park Pavillion / Skate change area,"09:00 to 21:00 Summer, 09:00-22:00 Winter",Same hours year round,311,edmonton.ca/victoriapavilion,53.53419,-113.52309,"(53.53419,-113.52309)",POINT (-113.52309 53.53419)
Mount Pleasant Cemetery,5420-106 Street NW,Within the building,"Accessible parking, button activated main door, accessible washrooms on main floor",8 am - 8pm,Same hours year round,311,edmonton.ca/cemeteries,53.491990,-113.504843,"(53.491990,-113.504843)",POINT (-113.504843 53.49199)
Abottsfield- Penny McKee Library,"#160, 3210-118 Avenue NW",Within the Library,Accessible Public Washrooms,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-7839,https://www.epl.ca/locations/EPLABB,53.570859,-113.390449,"(53.570859,-113.390449)",POINT (-113.390449 53.570859)
Londonderry Leisure Centre,14528-66 Street NW,Within the Leisure Centre,The facility is fully accessible,"Mon-Fri 07:00-21:00, Sat-Sun 09:00-21:00",Same hours year round,311,edmonton.ca/londonderry,53.607199,-113.444445,"(53.607199,-113.444445)",POINT (-113.444445 53.607199)
Rundle Golf Course Clubhouse,2903-113 Avenue NW,Within a building,"Accessible Parking, motion activated main door, accessible parking.  Limited access to 2nd floor dining",Summer: Mon-Sun 09:00 to 21:00.,Winter Closure,311,edmonton.ca/rundlegolf,53.569923,-113.378640,"(53.569923,-113.378640)",POINT (-113.37864 53.569923)
Belvedere LRT Station / Transit Centre,62 Street and 129 Avenue NW,Within the Transit Facility,All entrances are accessible.  Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/belvedere-lrt-station,53.588208,-113.434231,"(53.588208,-113.434231)",POINT (-113.434231 53.588208)
Sir Wilfrid Laurier Park Washroom Building,13221-Buena Vista Road NW,Washroom Building,"Washrooms in the amenity building are fully accessible, paved access only from road.",9:00 to 21:00,Same hours year round,311,edmonton.ca/wilfredlaurierpark,53.509993,-113.550669,"(53.509993,-113.550669)",POINT (-113.550669 53.509993)
Borden Park Tennis Court Bldg,7506-113A Avenue NW,Within the Building,Poor accessibility,"Summer: 08:00-21:00 7 days a week, Winter: closed",Winter closure,311,edmonton.ca/bordenpark,53.563436,-113.452454,"(53.563436,-113.452454)",POINT (-113.452454 53.563436)
Gold Bar Park Pavillion,10975-50 Street NW,Within the Park Pavillion,"Partially accessible picnic areas, fountains, playgrounds and washrooms","09:00 to 21:00 Summer, 09:00-22:00 Winter",Same hours year round,311,edmonton.ca/goldbarpark,53.561396,-113.421857,"(53.561396,-113.421857)",POINT (-113.421857 53.561396)
West Henday Promenade (Lewis Estates) Library,"818 Webber Greens Drive, West Henday Promenade",Within a building/facility,Accessible Public Washrooms,"Mon, Wed, Fri 10:00-18:00, Tues & Thurs 13:00-21:00 Fri & Sat 10:00 to 18:00 Sun 13:00 to 17:00",Seasonal variability hours,780-496-8342,https://www.epl.ca/locations/EPLWHP,53.52386,-113.66597,"(53.52386,-113.66597)",POINT (-113.66597 53.52386)
William Hawrelak Washroom Shelter 2,9330-Groat Road NW,Within the Park Shelter,"Partially barrier free, heavy doors and lip on thresholds.  Washroom does not open for the season until late May/early June",Closed for Park Rehabilitation,Closed,311,https://www.edmonton.ca/projects_plans/parks_recreation/hawrelak-park-rehabilitation-project,53.524615,-113.544951,"(53.524615,-113.544951)",POINT (-113.544951 53.524615)
Donnan Arena,9105-80 Ave NW,Within the Arena,The facility is almost fully accessible with accessible washrooms and change rooms,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/donnanarena,53.515567,-113.468303,"(53.515567,-113.468303)",POINT (-113.468303 53.515567)
Central LRT Station,101 Street and Jasper Avenue  NW,Within the Transit Facility,The entrance on 100A Street and Jasper Avenue Northside is fully accessible.  Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/central-lrt-station,53.541100,-113.491419,"(53.541100,-113.491419)",POINT (-113.491419 53.5411)
Confederation Leisure Centre,11204-43 Avenue NW,Within the Leisure Centre,The facility is fully accessible.  Washrooms are barrier free,"Mon-Tues 05:30-16:00, 17:30-22:00 Wed 5:30-22:00 Thurs-Fri  05:30-16:00, 17:30-22:00 Sat-Sun 06:00-17:30",Same hours year round,311,edmonton.ca/confederation,53.47959,-113.52027,"(53.47959,-113.52027)",POINT (-113.52027 53.47959)
Century Park LRT Station,111 Street and 23 Avenue NW,Within the Transit Facility,All entrances are accessible.  Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/century-park-lrt-station,53.457697,-113.51637,"(53.457697,-113.51637)",POINT (-113.51637 53.457697)
Gallagher Park Portable Toilet,9411 97 Avenue NW,Portable Toilet (Seasonal),Accessible Portable Toilet,Park Hours - 5:00 - 23:00 daily,Seasonal variability hours,311,,53.536076,-113.471517,"(53.536076,-113.471517)",POINT (-113.471517 53.536076)
Callingwood Twin Arena,11740-69 Avenue NW,Within the Arena,The facility is fully accessible,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/callingwoodtwinarenas,53.505090,-113.627292,"(53.505090,-113.627292)",POINT (-113.627292 53.50509)
Queen Elizabeth Outdoor Pool & Kinsmen Spray Park,9170 Walterdale Hill NW,Within the pool change rooms,Queen Elizabeth Outdoor Pool has full accessibility,Pool entrance by payment only,Same hours year round,311,edmonton.ca/queenelizabethpool,53.527290,-113.506489,"(53.527290,-113.506489)",POINT (-113.506489 53.52729)
St. Frances Xavier Sports Centre,9240-163 Street NW,Within the Recreation Centre,The facility is fully accessible.  Barrier free change rooms and washrooms,"M-F 06:00-10:00, 15:00-21:00, Sat 08:00-22:00, Sun 15:00-20:00",Same hours year round,311,https://www.edmonton.ca/activities_parks_recreation/stfx,53.52882,-113.60332,"(53.52882,-113.60332)",POINT (-113.60332 53.52882)
Castle Downs Transit Centre,153 Avenue and Castledowns Road NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/castle-downs-transit-centre,53.616577,-113.516506,"(53.616577,-113.516506)",POINT (-113.516506 53.616577)
Eaux Claires Transit Centre,97 Street and 157 Avenue NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/eaux-claires-transit-centre,53.61810,-113.49011,"(53.61810,-113.49011)",POINT (-113.49011 53.6181)
Michael Cameron Arena,10404-56 Street NW,Within the Arena,The arena is almost fully accessible with accessible washrooms,Variable hours - Only open during ice bookings,Same hours year round,311,edmonton.ca/michaelcameronarena,53.546475,-113.423917,"(53.546475,-113.423917)",POINT (-113.423917 53.546475)
William Hawrelak Washroom Shelter 1,9330-Groat Road NW,Within the Park Shelter,"Partially barrier free, heavy doors and lip on thresholds.  Washroom does not open for the season until late May/early June",Closed for Park Rehabilitation,Closed,311,https://www.edmonton.ca/projects_plans/parks_recreation/hawrelak-park-rehabilitation-project,53.529833,-113.554455,"(53.529833,-113.554455)",POINT (-113.554455 53.529833)
Government House Park Portable Toilets,Groat Road and River Valley Road NW,Portable Toilets in Permanent Structure,Accessible portable toilet available year round,Park Hours - 5:00 - 23:00 daily,Same hours year round,311,edmonton.ca/governmenthousepark,53.539081,-113.540411,"(53.539081,-113.540411)",POINT (-113.540411 53.539081)
Kinsmen Sports Centre,9100-Walterdale Hill NW,Within the facility,The facility is fully accessible,Mon-Fri 05:30-22:30 Sat 06:30-22:00 Sun 07:00-22:00,Seasonal variability hours,311,edmonton.ca/kinsmen,53.526501,-113.506485,"(53.526501,-113.506485)",POINT (-113.506485 53.526501)
City Arts Centre,10943 - 84 Avenue NW,Within the Recreation Centre,"The facility is mostly accessible.  Washrooms are accessible,",Mon-Fri 09:00-21:00 Sat-Sun 9:00-16:00,Same hours year round,311,edmonton.ca/cityarts,53.51963,-113.51381,"(53.51963,-113.51381)",POINT (-113.51381 53.51963)
Oliver Arena,10335-119 Street NW,Within the Arena,The arena is partially accessible.  The washrooms are not accessible,Variable hours - Only open during ice bookings,Winter closure,311,edmonton.ca/oliverarena,53.545324,-113.526005,"(53.545324,-113.526005)",POINT (-113.526005 53.545324)
South Campus / Fort Edmonton Transit Centre,115A Street and 68 Avenue NW,Within the Transit Facility,Accessible Public Washroom,Mon-Sun 05:00 to 01:30. Hours may vary.,Same hours year round,311,https://www.edmonton.ca/ets/south-campus-lrt-station,53.502670,-113.528479,"(53.502670,-113.528479)",POINT (-113.528479 53.50267)
Legislature Visitor Centre,9820-107 Street NW,Within the facility,Accessible Washrooms,Wed - Sunday 11:00-15:00,Same hours year round,,https://www.assembly.ab.ca/visit/plan-your-visit,53.536684,-113.506089,"(53.536684,-113.506089)",POINT (-113.506089 53.536684)
Whitemud Equine Learning Centre,12504-Fox Drive NW,Within a building/facility,Accessible Washroom,9-5 Monday- Friday,Same hours year round,,https://www.welca.ca/,53.505964,-113.547251,"(53.505964,-113.547251)",POINT (-113.547251 53.505964)
Heritage Valley Library,2755-119 A Street SW,Within the Library,Accessible Public Washroom,"Mon-Thursday 10:00-21:00, Fri & Sat 10:00 to 18:00 Sun 10:00 to 17:00",Same hours year round,780-496-4834,https://www.epl.ca/locations/EPLHVY,53.40751,-113.53762,"(53.40751,-113.53762)",POINT (-113.53762 53.40751)
