구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실여부,설치여부,기저귀교환대장소,리모델링연월,데이터기준일자
공중화장실,진원프라자,경기도 고양시 일산동구 정발산로 27,"경기도 고양시 일산동구 정발산로 27 (장항동, 진원프라자)",N,2,3,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6569377884,126.7718356549,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,웨스턴돔 타워,,"경기도 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔1)",N,1,2,1,0,0,0,2,1,0,일산동구청 환경녹지과,031-8075-6243,00:00~24:00,,37.6558930852,126.7719705633,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,호수빌딩,경기도 고양시 일산동구 정발산로 23,"경기도 고양시 일산동구 정발산로 23 (장항동, 호수빌딩)",N,13,18,0,0,0,0,14,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6567272061,126.7713048729,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,지평프라자,,"경기도 고양시 일산동구 정발산로 19 (장항동, 지평프라자)",N,11,11,0,0,0,0,28,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6567230023,126.7706246946,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일호골든타워,,"경기도 고양시 일산동구 정발산로 11 (장항동, 일호골든타워)",N,7,7,0,0,0,0,7,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6565580392,126.7701841668,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,한경(알파휘트니스센터),경기도 고양시 일산동구 장백로 86,"경기도 고양시 일산동구 장백로 86 (백석동, 한경빌딩)",N,2,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6447479877,126.7844573683,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,크리스탈빌딩 백석동,경기도 고양시 일산동구 장백로 56,"경기도 고양시 일산동구 장백로 56 (백석동, 크리스탈빌딩)",N,10,24,0,0,0,0,20,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6429685219,126.7867980942,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,코스트코 일산점 2층,경기도 고양시 일산동구 장백로 25,"경기도 고양시 일산동구 장백로 25 (백석동, 코스트코 일산점)",N,7,12,0,0,0,0,19,0,0,일산동구 환경녹지과,031-8075-6243,10:00~22:00,,37.6405441824,126.7883287660,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,코스트코 일산점 1층,경기도 고양시 일산동구 장백로 25,"경기도 고양시 일산동구 장백로 25 (백석동, 코스트코 일산점)",N,7,12,0,0,0,0,19,0,0,일산동구 환경녹지과,031-8075-6243,10:00~22:00,,37.6405441824,126.7883287660,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,이지로 빌딩,경기도 고양시 일산동구 장백로 206,"경기도 고양시 일산동구 장백로 206 (장항동, 이지로빌딩)",N,16,16,0,0,0,0,16,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6530432874,126.7761021764,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,백석레저타운,경기도 고양시 일산동구 일산로 46,경기도 고양시 일산동구 일산로 46 (일산동),N,12,29,0,0,0,0,23,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6423442708,126.7879035396,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,남정씨티프라자 3차,경기도 고양시 일산동구 일산로 46,"경기도 고양시 일산동구 일산로 46 (백석동, 남정씨티프라자)",N,6,5,0,0,0,0,5,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,00:00~00:00,,37.6423442708,126.7879035396,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,효성레저스 오피스텔,,"경기도 고양시 일산동구 일산로 30 (백석동, 효성레제스오피스텔)",N,2,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6414450932,126.7867673205,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,현대오일뱅크,경기도 고양시 일산동구 일산로 144,"경기도 고양시 일산동구 일산로 144 (백석동, 백석동주유소)",N,1,2,0,0,0,0,1,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6497486033,126.7931380660,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,중산실내수영장2,경기도 고양시 일산동구 약산길 2,"경기도 고양시 일산동구 약산길 2 (중산동, 부성빌딩)",N,0,2,0,0,0,0,2,0,0,일산동구 환경녹지과,031-8075-6243,:~:,,37.6792718480,126.7924497740,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,스타 골프클럽,경기도 고양시 일산동구 애니골길43번길 67,경기도 고양시 일산동구 애니골길43번길 67 (풍동),N,1,1,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6728570071,126.7883831282,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,타워빌딩,경기도 고양시 일산동구 애니골길 14-23,경기도 고양시 일산동구 애니골길 14-23 (풍동),N,8,12,0,0,0,0,10,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6685579406,126.7914176241,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,중앙프라자 B동,,"경기도 고양시 일산동구 숲속마을로 50-76 (풍동, 중앙프라자)",N,6,6,0,0,0,0,6,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6677543174,126.7987160382,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,영진프라자,경기도 고양시 일산동구 숲속마을로 50-70,"경기도 고양시 일산동구 숲속마을로 50-70 (풍동, 영진프라자)",N,6,12,0,0,0,0,11,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6677295707,126.7991017863,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,세훈프라자,경기도 고양시 일산동구 숲속마을로 50-54,"경기도 고양시 일산동구 숲속마을로 50-54 (풍동, 세훈프라자)",N,4,4,0,0,0,0,6,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6678937533,126.7994290647,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,중앙프라자 A동,,"경기도 고양시 일산동구 숲속마을로 50-38 (풍동, 중앙프라자)",N,5,12,0,0,0,0,7,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6679347069,126.7987370182,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,풍동미래타워,경기도 고양시 일산동구 숲속마을로 44,"경기도 고양시 일산동구 숲속마을로 44 (풍동, 풍동 미래타워)",N,6,8,0,0,0,0,14,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6674090687,126.7982544029,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,풍동프라자,경기도 고양시 일산동구 숲속마을로 26,"경기도 고양시 일산동구 숲속마을로 26 (풍동, 풍동프라자)",N,12,13,0,0,0,0,14,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6673408186,126.8004207226,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,진넥스,경기도 고양시 일산동구 숲속마을로 22,"경기도 고양시 일산동구 숲속마을로 22 (풍동, 진넥스 블루오션)",N,12,18,0,0,0,0,15,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6673158646,126.8007724540,N,N,N,N,N,N,N,N,,2022-04-08
