Public toilet location,Jersey Mapping Easting (X),Jersey Mapping Northing (Y),Latitude,Longitude,Notes,Geometry
Anne Port,48179,67889,49.205968,-2.022761,Showers availiable,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.022761,49.205968 ]}"
Archirondel,48003,68525,49.211693,-2.02517,In the middle of the public car park,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.02517,49.211693 ]}"
Bonne Nuit Bay,41024,73030,49.252245,-2.120946,Bottom of hill on the right,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.120946,49.252245 ]}"
Bouley Bay,43887,71543,49.238863,-2.08163,At start of the pier,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.08163,49.238863 ]}"
Corbiere,32411,65109,49.180981,-2.239097,"On left hand side of the road, opposite end of the cycle track.","{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.239097,49.180981 ]}"
Cotil Du Grouin,35991,65337,49.183064,-2.189991,Down slipway and turn left for toilets,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.189991,49.183064 ]}"
Gorey Common,47600,66800,49.196183,-2.03073,Just past car park,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.03073,49.196183 ]}"
Gorey House,48285,67229,49.200037,-2.021318,On left hand side of corner,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.021318,49.200037 ]}"
Gorey Pier,48221,66881,49.196907,-2.022209,Walk to very end of pier. Shower's availiable.,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.022209,49.196907 ]}"
Green Island,44488,63172,49.163598,-2.073474,Top left corner of the car park.,"{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.073474,49.163598 ]}"
Grève de Lecq Toilet,35171,72439,49.246918,-2.201337,"
Grève de Lecq public toilet, right hand side just before slip way.","{type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"":  [ -2.201337,49.246918 ]}"
