Name,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
5 Pancras Square (Leisure Centre & Library),"Mon - Fri, 10am - 4pm; Sat, 11am to 3.30pm",,5,Pancras Square,N1C 4AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013666,Kings Cross,530050,183321,-0.126383,51.533826,"(51.533826, -0.126383)",Local Land And Property Gazetteer,10/09/2023 03:32:03 PM,1
Highgate Road Public Conveniences,Mon-Sun 8am-dusk.,Public Conveniences,,Highgate Road,,"020 7332 3322, 020 7332 3773",,http://www.cityoflondon.gov.uk/openspaces,E05013661,Highgate,528211,186126,-0.151861,51.559446,"(51.559446, -0.151861)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,14
Kilburn Tube Station,,Kilburn Tube station,,,NW6 7QL,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,,,524610.53,184639.93,-0.204299,51.546905,"(51.546905, -0.204299)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,19
West End Lane Public Conveniences,"Toilets below ground via stairs. 1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Convenience,,West End Lane,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013671,West Hampstead,525431,185220,-0.19228,51.551928,"(51.551928, -0.19228)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,31
West Hampstead Library,"Mon – Sat, 11am to 3.30pm; library card and pin needed before 12 noon",West Hampstead Library,,Dennington Park Road,NW6 1AU,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/westhampsteadlibrary,E05013671,West Hampstead,525481,185042,-0.191623,51.550317,"(51.550317, -0.191623)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,32
Millfield Lane Public Conveniences,Mon-Sun 7.30am-8.30pm.,168066,20499065,,,"020 7332 3322, 020 7332 3977",,http://www.cityoflondon.gov.uk/hampstead,E05013661,Highgate,527823,186842,-0.157195,51.565977,"(51.565977, -0.157195)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,22
St Pancras International Station Public Conveniences,Mon-Sun 4.30am-00.30am.,St Pancras International Station,,Pancras Road,NW1 2QL,020 7843 4250,,http://www.stpancras.com,E05013666,Kings Cross,530075,183056,-0.126121,51.53143,"(51.53143, -0.126121)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,28
Community Toilet Scheme Belsize Community Library,,Belsize Branch Library,,Antrim Road,NW3 4XN,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05013652,Belsize,527524,184823,-0.16225,51.547901,"(51.547901, -0.16225)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,5
Euston Station Public Conveniences,"Mon-Thu 4.30am-1.35am, Fri-Sat 4.30am-2am, Sun 5.15am-1.35am.",Euston Railway Station,,Eversholt Street,NW1 2HS,020 7922 6482 (Customer Reception),,http://www.networkrail.co.uk/aspx/819.aspx,E05013668,Regents Park,529587,182736,-0.13327,51.528667,"(51.528667, -0.13327)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,10
Holborn Library,"Mon – Sat, 11am to 3.30pm",,32-38,Theobald's Road,WC1X 8PA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/holbornlibrary,E05013662,Holborn and Covent Garden,530827,181935,-0.115702,51.521182,"(51.521182, -0.115702)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,15
Community Toilet Scheme Abbey Road Community Centre,,Abbey Community Centre,172,Belsize Road,NW6 4BJ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05013665,Kilburn,525898.15,183948.4,-0.185987,51.540405,"(51.540405, -0.185987)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,4
Swiss Cottage Central Library,"Mon – Sat, 11am to 3.30pm",Swiss Cottage Library,88,Avenue Road,NW3 3HA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/swisscottagelibrary,E05013667,Primrose Hill,526780,184180,-0.173208,51.54229,"(51.54229, -0.173208)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,29
East Heath Road Public Conveniences,"Daily 8am-3.30pm (winter), 8am-one hour before dusk (summer).",Public Conveniences,,East Heath Road,,020 7332 3322/3977,,http://www.cityoflondon.gov.uk/openspaces,E05013659,Hampstead Town,526691,186620,-0.173598,51.564237,"(51.564237, -0.173598)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,9
Kilburn Library Centre,"Mon – Sat, 11am to 3.30pm",,20221201,Kilburn High Road,NW6 5UH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kilburnlibrary,E05013665,Kilburn,525552,183494,-0.191137,51.536389,"(51.536389, -0.191137)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,18
Lincolns Inn Fields Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Lincoln's Inn Fields,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013662,Holborn and Covent Garden,530862,181462,-0.115388,51.516933,"(51.516933, -0.115388)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,21
Gospel Oak Railway Station Public Conveniences,,Gospel Oak Railway Station,15828,Gordon House Road,NW5 1LT,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05013661,Highgate,528266,185682,-0.151237,51.55545,"(51.55545, -0.151237)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,11
Crowndale Centre Public Conveniences,"Mon-Fri, 10am - 4pm",The Crowndale Centre,218,Eversholt Street,NW1 1BD,020 7974 1564,,http://www.camden.gov.uk/toilets,E05013668,Regents Park,529261,183348,-0.137743,51.53425,"(51.53425, -0.137743)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,8
Queens Crescent Library,"Mon – Sat, 11am to 3.30pm;  library card and pin needed before 12 noon",Queens Crescent Branch Library,165,Queen's Crescent,NW5 4HH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/queenscrescentlibrary,E05013658,Gospel Oak,528284,185130,-0.151186,51.550488,"(51.550488, -0.151186)",Local Land And Property Gazetteer,10/09/2023 03:32:05 PM,25
