Sr. No.,Toilet ID,Assessor Address,Latitude,Longitude
1,VMC/001/PTB/001,MANDVI NEAR VITHAL MANDIR MG ROAD VADODARA,22.3008333,73.2118183
2,VMC/001/PTB/002,JUBELI NEAR GANDHINAGAR GRIH VADODARA,22.3030417,73.2055567
3,VMC/001/PTB/003,MANGAL BAZAR BAJBARA DUSTWIN VADODARA,22.303565,73.2083017
4,VMC/001/PTB/004,KALOPURA MUTTAN MARKET OPPSIT GUST HOUSE,22.303565,73.2083017
5,VMC/001/PTB/005,NAWABAZAR KOTEKOT VADODARA,22.3035533,73.205765
6,VMC/002/PTB/006,SANGAM CHAR RASTA HARNI ROAD VADODARA,22.319832,73.212478
7,VMC/002/PTB/007,HARNI TALAO OPP HANUMAN MANDIR,22.338796,73.217791
8,VMC/002/PTB/008,SOMA TALAV OPP PETROL PUMP,22.2790741,73.2307403
9,VMC/002/PTB/009,R.T.O VARSHIYA NEAR POLICE STATION,22.309148,73.219561
10,VMC/003/PTB/010,SOMATALAO DABHOI ROAD CITY BUS STAND,22.2793488,73.2300587
11,VMC/003/PTB/011,VAGHODIYA CHAR RASTA OPP POLICE CHAUKI VADODARA,22.29653,73.2529267
12,VMC/004/PTB/012,VADODARA DAIRY MAKARPURA ROAD VADODARA,22.2727284,73.2042271
13,VMC/004/PTB/013,MANJALPUR NEAR BHATHUJI TEMPEL VADODARA,22.277407,73.18921
14,VMC/004/PTB/014,LALBAG NEAR GARDEN RAILWAY COLLEGE PARTAPNAGAR ROAD,22.281815,73.1960697
15,VMC/004/PTB/015,KALALI BRIGE OPP TRANSPEK BUTSER ROAD,22.2748,73.163967
16,VMC/005/PTB/016,"LAL COURT RAJMAHAL ROAD, VADODARA",22.2988127,73.2047414
17,VMC/005/PTB/017,SURAY NARAYAN BAG RAOPURA VADODARA,22.3041028,73.1972946
18,VMC/005/PTB/018,KIRTISTABH RAJMAHAL ROAD VADODARA,22.2958825,73.1973715
19,VMC/005/PTB/019,KHANDERAO MARKET RAJMAHAL ROAD VADODARA,22.2962767,73.2018417
20,VMC/005/PTB/020,BADAMDIBAG OPP MUSZID DANDYA BAZAR,22.299655,73.19549
21,VMC/005/PTB/021,GUMASTDHARA OFFICE NAURANG CINEMA RAOPURA VADODARA,22.3020866,73.2012242
22,VMC/005/PTB/022,CHAUKHANDI NANI SAAG MARKET VADODARA,22.292665,73.2103617
23,VMC/005/PTB/023,GHARYALI POL NEAR SAYAJI HIGH SCHOOL,22.2992883,73.2101783
24,VMC/005/PTB/024,NAWAPURA NEAR SSC BOARD NAWAPURA,22.28921,73.202585
25,VMC/006/PTB/025,KALALI NEAR RAILWAY CROSSING KALALI BRIGE,22.2749533,73.1637767
26,VMC/006/PTB/026,AKOTA CHARRASTA NEAR AKOTA BRIGE ,22.298005,73.1770233
27,VMC/006/PTB/027,saibaba tempal below jetalpur bridge,22.3074386,73.1776329
28,VMC/007/PTB/028,SAYAJIBAG NEAR FISH HOUSE VADODARA,22.31259,73.1894417
29,VMC/007/PTB/029,SAYAJIBAG NEAR Bandstand VADODARA,22.315665,73.1896383
30,VMC/007/PTB/030,FATHEGANJ NEAR WORD NO 7 OFFICE VADODARA,22.3242248,73.1889721
31,VMC/007/PTB/031,SAYAGUNJ CITY BUS STAND VADODARA,22.315665,73.1896383
32,VMC/007/PTB/032,SAYAJIBAG NEAR GATE NO 2 VADODARA,22.3126183,73.1883267
33,VMC/007/PTB/033,RAILWAY STATION NEAR EXIT GATE VADODARA,22.311105,73.1813633
34,VMC/007/PTB/034,ABHILASHA SWATI BUS STAND VADODARA,22.341927,73.188681
35,VMC/007/PTB/035,MANEK PARK CHARRASTA OPP AIRPORT VADODARA,22.327504,73.213767
36,VMC/007/PTB/036,ABHILASHA CANNAL NEAR HANUMAN MANDIR,22.350571,73.186275
37,VMC/008/PTB/037,KARELIBAG NEAR WATER TANK VADODARA,22.3190983,73.2067367
38,VMC/008/PTB/038,BAHUCHRAJI ROAD KARELI BAG VADODARA,22.30956,73.19827
39,VMC/008/PTB/039,NAWIDHARTI NAGARWARA OPP MAHADEV CHOK,22.308495,73.2021317
40,VMC/009/PTB/040,KISHANWADI CHAR RASTA NEAR GADHEDA MARKET,22.2998722,73.2019845
41,VMC/009/PTB/041,SARDAR ESTATE CHAR RASTA AJWA ROAD,22.3095776,73.2367295
42,VMC/009/PTB/042,EKTA NAGAR NEAR POLICE CHAUKI AJWA ROAD,22.311245,73.248645
43,VMC/009/PTB/043,AJWA NAKA AJWA ROAD VADODARA,22.322709,73.254533
